DeviceType	DeviceLocation	SusyId	SerNo	TimeStamp	EntryId	EventCode	EventType	Category	Group	Tag
SB 4000TL-20	SN: 2100538165	78	2100538165	21.12.2011 14:44	3628	39	Outgoing	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 09:43	3632	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 10:20	3633	39	Incoming	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 11:56	3639	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 12:32	3641	39	Incoming	Warning	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 14:01	3650	39	Outgoing	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 14:02	3663	33	Incoming	Warning	DC-Seite	Instabiler Betrieb
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 14:13	3670	33	Outgoing	Info	DC-Seite	Instabiler Betrieb
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 14:20	3671	33	Incoming	Warning	DC-Seite	Instabiler Betrieb
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 14:30	3679	33	Incoming	Error	DC-Seite	Instabiler Betrieb
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 14:32	3680	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 14:40	3687	33	Outgoing	Info	DC-Seite	Instabiler Betrieb
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 15:46	3689	39	Incoming	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	22.12.2011 16:35	3692	39	Outgoing	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	23.12.2011 09:28	3699	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	24.12.2011 09:17	3723	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	25.12.2011 09:32	3739	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	26.12.2011 09:26	3752	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	27.12.2011 09:13	3765	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	28.12.2011 09:31	3778	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	29.12.2011 09:03	3790	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	30.12.2011 09:17	3808	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	31.12.2011 09:25	3818	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	01.01.2012 09:38	3831	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	02.01.2012 09:26	3844	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	03.01.2012 09:10	3863	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	04.01.2012 09:03	3874	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	05.01.2012 09:19	3880	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	06.01.2012 09:19	3905	10223	Event	Info	Gerät	Intervallzeit abgelaufen
